name,geoid,state_name,county_name,population,population_density_sq_mi,median_household_income,hhs_total,race_and_ethnicity_total,age_total,median_age,educational_attainment_population_25_years_and_over,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Goshen CDP,16000US0630476,California,Tulare,3304,1858.5,27286,1036,3304,3304,27.4,1785,0.042,0,0,846,0.381,0.046,1084,157900,1036,
Graeagle CDP,16000US0630560,California,Plumas,538,48.6,55208,270,538,538,62.6,458,0.358,1,0.079,177,0,0.065,945,314800,270,
Grand Terrace city,16000US0630658,California,San Bernardino,12510,3567.5,71788,4358,12510,12510,37.3,8959,0.148,0,0.12,3195,0.046,0.063,4719,324400,4358,
Grangeville CDP,16000US0630686,California,Kings,346,540.8,79917,135,346,346,51.3,234,0.235,0,0.209,97,0,0,135,372400,135,
Granite Bay CDP,16000US0630693,California,Placer,23183,1077.8,143401,8231,23183,23183,47.1,16262,0.316,1,0.243,6565,0.03,0.039,8434,794000,8231,
Granite Hills CDP,16000US0630703,California,San Diego,3500,1253.7,113333,1104,3500,3500,52.3,2798,0.185,0,0.084,904,0.08,0.095,1184,650700,1104,
Graniteville CDP,16000US0630714,California,Nevada,13,8.7,-1,5,13,13,-1,13,0,0,0.385,5,1,0,54,-1,5,
Grass Valley city,16000US0630798,California,Nevada,12891,2456,37548,6134,12891,12891,46.2,9536,0.158,0,0.103,2589,0.224,0.077,6686,331400,6134,
Graton CDP,16000US0630812,California,Sonoma,1889,1196.1,73984,633,1889,1889,40.1,1397,0.293,1,0.177,455,0,0.101,726,650000,633,
Grayson CDP,16000US0630882,California,Stanislaus,1364,6117.6,59688,276,1364,1364,23.9,633,0.021,0,0,276,0.156,0.106,299,232900,276,
Greeley Hill CDP,16000US0630900,California,Mariposa,747,35.5,32471,413,747,747,63.5,679,0.144,0,0.06,248,0.032,0.15,675,260100,413,
Green Acres CDP,16000US0630944,California,Riverside,2607,1861.7,53073,659,2607,2607,28.8,1416,0.042,0,0.034,551,0.26,0.133,731,193300,659,
Green Valley CDP,16000US0631092,California,Los Angeles,1124,87.8,82961,463,1124,1124,45.8,878,0.164,0,0.117,285,0.074,0.068,532,278100,463,
Green Valley CDP,16000US0631099,California,Solano,1472,175.8,119615,574,1472,1472,59.4,1328,0.26,1,0.172,519,0,0,574,782200,574,
Greenacres CDP,16000US0630938,California,Kern,5911,3106.9,71053,2028,5911,5911,35.3,3618,0.116,0,0.023,1517,0.06,0.073,2197,221700,2028,
Greenfield CDP,16000US0630987,California,Kern,3899,2928,44375,1120,3899,3899,40.4,2604,0.067,0,0.017,973,0.24,0.115,1176,185000,1120,
Greenfield city,16000US0630994,California,Monterey,17373,8132.9,59595,3702,17373,17373,27.7,9582,0.04,0,0.012,3267,0.108,0.038,3940,305000,3702,
Greenhorn CDP,16000US0631029,California,Plumas,255,38,50536,131,255,255,56.7,213,0.244,0,0.089,45,0,0.06,163,218100,131,
Greenview CDP,16000US0631134,California,Siskiyou,229,176.8,-1,95,229,229,59.2,172,0,0,0,68,0.147,0.212,95,154600,95,
Greenville CDP,16000US0631162,California,Plumas,817,102.2,26875,462,817,817,52.5,719,0.061,0,0.042,191,0.23,0.165,549,121100,462,
