name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Bay Point CDP,16000US0604415,California,Contra Costa,16707475,25808,4000.7,65098,6917,974,1664,1360,1349,919,319,332,25808,3146,2537,201,2418,183,30,712,16581,25808,1522,1628,1829,2090,1866,1815,767,705,2251,2324,2468,1796,1823,1369,1015,540,32.4,15907,0.319,0.278,0.283,0.092,0,0.028,5840,0.133,13266,0.081,7174,302900,6917,
Bayview CDP,16000US0604478,California,Humboldt,1895391,2811,3841.1,39750,986,294,305,160,112,70,22,23,2811,2201,31,53,52,0,0,196,278,2811,160,217,220,170,264,225,130,135,125,220,150,127,116,341,129,82,40.4,2017,0.156,0.256,0.426,0.113,0,0.049,652,0.218,1240,0.08,1098,202000,986,
Bayview CDP,16000US0604470,California,Contra Costa,789227,1862,6110.5,90984,587,28,86,75,204,72,47,75,1862,832,120,0,318,0,0,0,592,1862,70,103,50,88,110,135,83,110,123,141,189,186,122,134,89,129,36.6,1285,0.107,0.327,0.355,0.155,0,0.057,438,0,874,0.118,628,479300,587,
Beale AFB CDP,16000US0604576,California,Yuba,26153588,1020,101,50536,335,59,107,64,43,50,6,6,1020,669,18,3,41,0,0,64,225,1020,113,67,171,119,36,14,5,0,126,94,154,91,24,6,0,0,23.6,465,0.015,0.116,0.527,0.155,0,0.187,305,0.105,205,0.034,348,-1,335,
Bear Creek CDP,16000US0604632,California,Merced,148411,148,2582.8,43750,61,9,33,19,0,0,0,0,148,85,0,0,0,0,0,0,63,148,0,0,0,12,19,0,9,0,0,29,19,12,0,15,10,23,48.1,119,0.076,0.487,0.437,0,0,0,29,0,53,0,61,-1,61,
Bear Valley CDP,16000US0604716,California,Alpine,13352822,59,11.4,-1,26,0,0,12,0,5,0,9,59,59,0,0,0,0,0,0,0,59,6,0,0,0,6,2,6,3,0,8,0,10,6,3,5,4,44.9,45,0,0.133,0.156,0.378,1,0.333,16,0,27,0,465,440000,26,
Bear Valley CDP,16000US0604730,California,Mariposa,18742832,197,27.2,64400,68,9,0,31,26,0,2,0,197,110,0,0,0,0,0,6,81,197,0,29,0,14,2,0,0,0,60,21,0,17,2,34,6,12,15.5,87,0,0.092,0.747,0.023,0,0.138,41,0,52,0,68,-1,68,
Bear Valley Springs CDP,16000US0604734,California,Kern,107445360,5292,127.6,72273,2304,181,510,501,261,576,167,108,5292,4365,66,0,126,0,0,171,564,5292,169,322,12,249,214,456,593,655,248,371,219,186,108,416,391,683,56.7,4076,0.028,0.169,0.456,0.239,0,0.109,1579,0.063,1754,0.066,2970,319300,2304,
Beaumont city,16000US0604758,California,Riverside,78521737,47144,1555,84105,13886,1825,2106,2337,2039,3501,1269,809,47144,15858,4106,179,3961,59,104,975,21902,47144,3414,4081,2955,3570,2890,2721,2548,2140,3791,3892,2456,3191,2910,2354,2275,1956,34.5,29508,0.125,0.267,0.347,0.173,0,0.089,10973,0.082,21226,0.067,14573,320500,13886,
Beckwourth CDP,16000US0604772,California,Plumas,30257789,414,35.4,99224,224,13,25,34,58,31,0,63,414,389,0,0,0,0,0,0,25,414,0,18,0,22,52,83,56,15,0,62,0,0,63,0,43,0,49.9,334,0.057,0.054,0.743,0,0,0.147,126,0.103,288,0,362,290400,224,
Belden CDP,16000US0604856,California,Plumas,1578657,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,56,-1,0,
Bell Canyon CDP,16000US0604938,California,Ventura,9417299,2109,580,212045,652,43,21,19,18,112,62,377,2109,1347,59,0,401,0,0,92,210,2109,73,166,80,62,167,196,158,97,127,222,73,58,176,173,165,116,45.8,1397,0.029,0.074,0.215,0.366,1,0.316,610,0.061,1008,0.04,672,1480500,652,
Bell Gardens city,16000US0604996,California,Los Angeles,6367732,42421,17254.2,42223,9823,2537,3303,2036,943,738,197,69,42421,1064,359,30,253,14,5,46,40650,42421,3126,3899,3515,2880,2870,2276,1436,1206,3607,3849,3540,2904,2795,2053,1439,1026,29.5,24542,0.501,0.279,0.166,0.043,0,0.011,8570,0.27,19674,0.074,9984,388100,9823,
Bell city,16000US0604870,California,Los Angeles,6474239,35682,14274.4,44327,8972,2229,2793,1834,1065,636,269,146,35682,1831,553,56,189,63,31,166,32793,35682,2461,2461,3170,2117,2482,1991,1431,1194,2915,2956,3497,2550,2340,2180,1080,857,30.7,21807,0.462,0.271,0.191,0.069,0,0.007,7586,0.202,17114,0.074,9210,413400,8972,
Bella Vista CDP,16000US0604926,California,Shasta,57495927,2427,109.3,64258,963,181,205,160,129,125,91,72,2427,2099,26,28,14,20,0,60,180,2427,47,146,154,35,158,192,228,250,128,146,94,92,110,237,252,158,51.7,1852,0.085,0.185,0.533,0.113,0,0.084,688,0.092,1098,0.013,1127,320500,963,
Bellflower city,16000US0604982,California,Los Angeles,15848408,77195,12615.4,60011,23240,4423,5279,4425,3294,3681,1237,901,77195,12260,10009,162,9311,414,334,1557,43148,77195,5557,5294,6121,5409,5414,4817,3660,3319,5184,6013,5680,5358,4952,4742,3479,2196,34.6,49415,0.234,0.25,0.331,0.136,0,0.049,17342,0.098,38560,0.058,24874,458600,23240,
Belmont city,16000US0605108,California,San Mateo,12002431,27097,5847.2,156052,10285,882,783,874,991,1475,1446,3834,27097,14611,275,61,7417,257,75,1117,3284,27097,1373,1665,993,2269,2025,2103,1531,1684,1775,1835,1120,2283,2021,1682,1333,1405,40.9,19431,0.043,0.092,0.219,0.307,1,0.339,7352,0.022,14703,0.032,11000,1527500,10285,
Belvedere city,16000US0605164,California,Marin,1345174,2134,4108.8,245208,895,75,75,37,47,70,65,526,2134,1970,0,0,43,0,0,13,108,2134,77,229,29,18,215,148,170,262,90,183,0,23,173,131,183,203,50.7,1534,0,0.029,0.117,0.433,1,0.421,626,0.016,718,0.028,1060,2000001,895,
Ben Lomond CDP,16000US0605332,California,Santa Cruz,21651907,6890,824.2,95814,2368,215,353,324,332,398,226,520,6890,5774,23,0,82,0,12,160,839,6890,360,325,557,450,465,566,582,287,367,352,445,509,451,340,544,290,41.1,4808,0.045,0.148,0.418,0.268,1,0.121,1638,0.02,3840,0.019,2584,720200,2368,
Benbow CDP,16000US0605262,California,Humboldt,12641980,118,24.2,-1,56,2,31,0,23,0,0,0,118,118,0,0,0,0,0,0,0,118,0,0,0,0,11,0,2,21,0,14,15,12,0,24,2,17,50.6,89,0,0.393,0.315,0.135,0,0.157,25,0.08,50,0.3,91,346600,56,
Bend CDP,16000US0605276,California,Tehama,7567416,498,170.4,48365,195,66,40,53,19,3,0,14,498,411,0,0,0,0,0,0,87,498,0,0,0,10,0,19,89,101,19,16,24,0,47,45,17,111,67.5,439,0.123,0.403,0.28,0.116,0,0.077,161,0.304,103,0,215,376900,195,
Benicia city,16000US0605290,California,Solano,33253310,28192,2195.8,103413,11293,1123,1265,1481,1601,2236,1562,2025,28192,18339,908,0,3157,68,196,1911,3613,28192,1316,1630,1279,1493,1938,2432,2446,1900,1431,1811,1252,1278,2027,2258,2151,1550,46.1,20921,0.032,0.173,0.349,0.29,1,0.156,7895,0.06,15114,0.027,11786,585600,11293,
Benton CDP,16000US0605346,California,Mono,73770745,328,11.5,40735,130,42,37,43,0,0,8,0,328,238,0,71,2,0,0,0,17,328,3,2,4,7,22,2,63,26,2,1,1,58,63,2,55,17,52.5,320,0.053,0.166,0.488,0.222,0,0.072,92,0.011,141,0.014,131,202500,130,
Berkeley city,16000US0606000,California,Alameda,27127434,121485,11598.8,85530,45352,8572,6571,5446,4168,6849,4910,8836,121485,64781,9324,282,25313,532,296,7104,13853,121485,3796,8771,16360,7631,6075,5947,6500,6283,4413,9200,15688,8360,6299,5425,5627,5110,31.1,76120,0.036,0.063,0.163,0.34,1,0.399,20698,0.038,66897,0.053,48674,1004900,45352,
Bermuda Dunes CDP,16000US0606028,California,Riverside,7631261,6704,2275.3,59860,2816,505,651,469,449,372,211,159,6704,3922,119,0,232,0,11,153,2267,6704,333,403,318,611,474,478,440,466,439,506,395,545,235,331,380,350,38.7,4801,0.08,0.295,0.346,0.186,0,0.093,1626,0.121,3415,0.085,3830,346600,2816,
Berry Creek CDP,16000US0606070,California,Butte,147940042,1313,23,34495,551,176,218,54,40,35,20,8,1313,1139,0,28,30,3,0,26,87,1313,42,57,22,47,60,103,155,116,33,64,99,74,71,121,148,101,55.5,1069,0.143,0.341,0.43,0.06,0,0.025,357,0.23,464,0.216,963,173000,551,
Bertsch-Oceanview CDP,16000US0606150,California,Del Norte,13727497,1988,375.1,41471,858,203,280,157,90,122,0,6,1988,1053,0,385,137,0,0,50,363,1988,76,126,55,115,95,180,124,166,152,101,79,29,153,171,192,174,51.1,1412,0.223,0.331,0.37,0.044,0,0.031,476,0.164,781,0.205,987,165500,858,
Bethel Island CDP,16000US0606210,California,Contra Costa,13602211,2161,411.5,33583,906,353,260,29,66,56,113,29,2161,1436,50,0,27,0,0,21,627,2161,60,54,193,113,58,165,170,171,126,123,170,169,110,209,54,216,45.5,1596,0.262,0.226,0.402,0.096,0,0.014,532,0.195,812,0.049,1417,168900,906,
Beverly Hills city,16000US0606308,California,Los Angeles,14783634,34186,5989.1,106936,14769,2443,1352,1602,1544,2233,1715,3880,34186,26601,665,62,3097,0,142,1602,2017,34186,1200,1870,2004,2278,2684,2683,2019,3103,1811,2472,1585,2055,1953,2144,1969,2356,44.8,25207,0.039,0.117,0.212,0.344,1,0.287,8495,0.069,17219,0.06,17559,2000001,14769,
Bieber CDP,16000US0606336,California,Lassen,4239787,156,95.3,42692,80,11,41,13,8,0,0,7,156,156,0,0,0,0,0,0,0,156,9,0,0,16,0,27,4,21,11,15,12,7,0,23,3,8,51.6,109,0.028,0.321,0.651,0,0,0,38,0,72,0,129,-1,80,
Big Bear City CDP,16000US0606406,California,San Bernardino,82744432,13463,421.4,51875,5375,1213,1413,902,766,661,307,113,13463,9279,161,54,75,0,0,292,3602,13463,791,832,854,689,648,994,1078,870,1076,801,653,674,828,886,872,917,42.2,9166,0.101,0.299,0.423,0.126,0,0.051,3559,0.139,5845,0.06,12950,257200,5375,
Big Bear Lake city,16000US0606434,California,San Bernardino,16162534,5241,839.9,51060,2237,553,532,359,294,296,73,130,5241,3433,11,54,136,8,0,25,1574,5241,299,303,330,267,278,335,402,416,246,297,324,256,397,322,407,362,43.7,3905,0.108,0.223,0.386,0.17,0,0.113,1375,0.128,2359,0.03,9864,391000,2237,
Big Bend CDP,16000US0606475,California,Shasta,14852515,132,23,22500,48,26,11,5,0,3,3,0,132,91,3,24,0,0,0,8,6,132,9,4,7,5,5,7,7,6,8,8,16,8,2,14,18,8,44,87,0.149,0.276,0.425,0.103,0,0.046,26,0.308,20,0.4,90,120800,48,
Big Creek CDP,16000US0606518,California,Fresno,1191495,198,430.4,90750,57,0,6,17,15,19,0,0,198,178,0,0,4,0,0,0,16,198,28,25,5,17,10,5,10,5,23,17,7,20,3,6,16,1,23.9,98,0,0.286,0.337,0.337,1,0.041,46,0,87,0.23,104,320000,57,
Big Lagoon CDP,16000US0606567,California,Humboldt,1552064,100,166.9,64167,46,15,4,7,10,8,0,2,100,87,0,0,0,0,0,0,13,100,6,0,0,5,2,7,20,13,0,3,0,11,2,6,16,9,62.7,91,0,0.154,0.231,0.154,0,0.462,28,0,22,0.136,122,506600,46,
Big Pine CDP,16000US0606616,California,Inyo,7652701,1524,515.8,53891,699,110,197,159,98,100,23,12,1524,837,14,337,19,1,9,86,221,1524,121,36,34,105,107,154,124,163,87,97,58,64,60,94,124,96,48.6,1145,0.079,0.319,0.405,0.123,0,0.073,340,0.041,690,0.032,838,232200,699,
Big River CDP,16000US0606635,California,San Bernardino,28050914,1149,106.1,33534,526,193,203,65,23,37,5,0,1149,914,7,28,5,0,0,24,171,1149,22,52,45,41,37,114,117,130,96,40,42,34,34,89,139,117,56.5,909,0.179,0.352,0.356,0.1,0,0.012,297,0.081,405,0.123,1069,91400,526,
Biggs city,16000US0606560,California,Butte,2317099,2175,2431.2,54188,637,99,193,175,69,63,24,14,2175,846,0,23,53,0,0,127,1126,2175,134,103,137,122,154,134,92,113,237,181,251,103,83,145,101,85,32.1,1353,0.259,0.326,0.351,0.043,0,0.021,537,0.171,863,0.037,667,211400,637,
Biola CDP,16000US0606728,California,Fresno,1375078,1705,3211.4,-1,378,159,35,94,47,24,19,0,1705,15,52,0,191,0,0,0,1447,1705,203,210,220,107,146,33,26,16,78,215,164,59,151,48,5,24,24.3,827,0.429,0.25,0.197,0.106,0,0.017,349,0.407,858,0.228,378,156200,378,
Bishop city,16000US0606798,California,Inyo,4827233,3745,2009.3,62067,1993,319,566,510,284,204,57,53,3745,2487,41,0,199,0,0,131,887,3745,281,106,157,246,321,319,283,347,260,106,110,197,199,330,221,262,46.3,2916,0.072,0.279,0.264,0.201,0,0.183,738,0.034,1880,0.038,2187,319000,1993,
Black Point-Green Point CDP,16000US0606982,California,Marin,7322458,1622,573.7,132438,617,54,38,37,98,104,41,245,1622,1302,0,0,151,0,0,52,117,1622,33,63,81,22,80,165,209,113,33,73,95,23,81,160,232,159,56.1,1290,0.033,0.164,0.24,0.358,1,0.204,419,0.019,933,0.056,627,991300,617,
Blackhawk CDP,16000US0606928,California,Contra Costa,15011149,9604,1657.1,214754,3458,138,133,167,323,461,384,1852,9604,6270,161,0,2059,33,36,378,667,9604,313,772,381,312,777,955,784,654,381,774,289,207,543,1069,743,650,50.2,7050,0.01,0.09,0.198,0.409,1,0.292,3116,0.027,5068,0.044,3533,1350600,3458,
Blacklake CDP,16000US0606935,California,San Luis Obispo,2707676,850,813.1,83203,445,20,123,75,16,127,17,67,850,816,0,0,0,0,0,34,0,850,0,22,0,0,54,51,111,201,0,23,56,21,38,11,140,122,68.1,805,0,0.094,0.359,0.281,1,0.266,268,0,181,0,639,788700,445,
Blairsden CDP,16000US0606994,California,Plumas,1402709,18,33.2,-1,9,0,0,9,0,0,0,0,18,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,-1,18,0,0.5,0.5,0,0,0,9,0,0,0,28,-1,9,
Bloomfield CDP,16000US0607036,California,Sonoma,21073593,292,35.9,97727,88,10,0,11,33,11,9,14,292,241,0,0,0,0,0,28,23,292,0,0,31,14,14,31,22,10,0,10,67,0,27,45,21,0,47.8,250,0,0.088,0.128,0.432,1,0.352,67,0,189,0.074,115,828100,88,
Bloomington CDP,16000US0607064,California,San Bernardino,15726094,21847,3598.1,52085,5747,1267,1428,1048,758,940,200,106,21847,2978,295,31,212,2,0,98,18231,21847,1194,1845,1459,1891,1255,1075,879,1012,1622,1981,1650,1642,1549,1310,753,730,32.8,13564,0.423,0.244,0.236,0.072,0,0.025,4827,0.162,10017,0.056,6352,270000,5747,
Blue Lake city,16000US0607162,California,Humboldt,1535452,902,1521.5,53929,428,86,98,113,60,39,31,1,902,678,0,58,14,0,0,101,51,902,40,14,76,52,26,59,126,79,40,13,62,115,11,28,93,68,50.5,773,0.023,0.233,0.378,0.211,0,0.155,239,0.084,530,0.045,507,310000,428,
Bluewater CDP,16000US0607172,California,San Bernardino,2711814,163,155.7,31000,84,29,21,22,6,0,0,6,163,129,0,12,0,0,0,0,22,163,7,0,7,0,0,6,28,23,20,0,0,6,8,0,21,37,67.1,136,0.118,0.397,0.397,0.088,0,0,35,0.171,39,0.128,515,27500,84,
Blythe city,16000US0607218,California,Riverside,68908179,19643,738.3,45385,4922,1694,998,719,556,602,249,104,19643,5091,2093,79,454,61,42,587,11236,19643,1127,820,855,923,666,731,764,643,1381,1160,2503,2496,2520,1387,1020,647,35.2,13583,0.284,0.284,0.354,0.051,0,0.026,3145,0.214,5667,0.083,6258,150000,4922,
Bodega Bay CDP,16000US0607260,California,Sonoma,21612539,665,79.7,86319,406,72,22,90,45,39,46,92,665,612,0,0,0,0,0,0,53,665,0,8,31,0,0,57,162,67,0,22,61,0,11,20,98,128,66.8,556,0.027,0.049,0.241,0.313,1,0.371,161,0,403,0.047,812,757400,406,
Bodega CDP,16000US0607246,California,Sonoma,7515783,892,307.4,-1,241,11,78,32,0,82,10,28,892,511,19,41,0,22,62,226,11,892,14,59,0,77,0,13,116,156,0,186,0,90,22,11,126,22,45.9,633,0.114,0.272,0.311,0.224,0,0.079,176,0,452,0.248,241,866800,241,
Bodfish CDP,16000US0607274,California,Kern,21273286,2030,247.1,22438,902,508,134,90,71,77,22,0,2030,1692,0,51,0,0,0,52,235,2030,115,103,98,155,113,82,116,264,45,240,18,127,83,192,148,131,45.3,1447,0.252,0.31,0.277,0.111,0,0.05,476,0.351,484,0.101,1195,96300,902,
Bolinas CDP,16000US0607316,California,Marin,15090532,1074,184.3,61667,528,143,110,64,73,45,53,40,1074,921,0,0,13,0,0,92,48,1074,52,21,55,52,35,63,158,179,32,4,8,64,63,33,106,149,62.6,953,0.007,0.12,0.31,0.295,1,0.269,249,0.084,534,0.036,838,1094400,528,
Bombay Beach CDP,16000US0607372,California,Imperial,2437517,297,315.6,21154,128,78,17,0,28,0,5,0,297,281,6,0,10,0,0,0,0,297,0,0,4,7,0,9,10,107,0,0,9,0,0,30,34,87,76,284,0.046,0.275,0.532,0.049,0,0.099,56,0,43,0.209,375,43700,128,
Bonadelle Ranchos-Madera Ranchos CDP,16000US0607379,California,Madera,30141274,9551,820.7,82292,3010,229,589,567,402,726,299,198,9551,5314,95,213,278,0,0,245,3406,9551,384,729,533,399,733,643,874,338,723,810,609,350,617,617,703,489,41.9,6271,0.144,0.221,0.39,0.154,0,0.092,2596,0.061,4233,0.062,3113,319000,3010,
Bonita CDP,16000US0607414,California,San Diego,12988335,12706,2533.7,99427,4089,390,522,607,531,944,584,511,12706,4194,319,0,1777,31,0,552,5833,12706,616,567,828,730,766,913,799,1119,729,607,879,988,763,977,649,776,43.5,9600,0.102,0.172,0.322,0.218,0,0.186,2985,0.03,6375,0.085,4546,662400,4089,
Bonny Doon CDP,16000US0607470,California,Santa Cruz,43222668,3096,185.5,109231,1108,122,124,132,133,229,164,204,3096,2551,33,4,87,0,19,137,265,3096,100,196,168,75,296,213,233,266,99,168,147,100,220,306,295,214,49.8,2378,0.025,0.157,0.319,0.282,1,0.217,794,0.082,1555,0.019,1236,868600,1108,
Bonsall CDP,16000US0607498,California,San Diego,34711673,4458,332.6,92544,1604,192,177,280,226,355,175,199,4458,2824,52,24,205,0,11,102,1240,4458,181,247,132,274,231,345,326,294,282,372,208,274,257,365,388,282,45,3209,0.114,0.166,0.355,0.238,0,0.127,1111,0.023,2082,0.082,1688,686000,1604,
Boonville CDP,16000US0607512,California,Mendocino,14355000,947,170.9,51346,298,33,109,32,42,41,16,25,947,341,56,0,36,0,0,10,504,947,46,80,59,57,61,76,51,47,35,72,76,43,75,58,65,46,41.3,645,0.223,0.239,0.338,0.087,0,0.113,215,0.023,581,0.09,396,514900,298,
Bootjack CDP,16000US0607525,California,Mariposa,18130433,743,106.1,45606,352,107,107,76,18,8,36,0,743,569,0,0,6,0,0,101,67,743,48,54,34,24,20,121,62,53,0,43,23,33,19,36,95,78,58,561,0.162,0.258,0.324,0.176,0,0.078,240,0.171,322,0.109,382,266000,352,
Boron CDP,16000US0607568,California,Kern,35742358,2221,160.9,51181,943,348,115,151,156,141,26,6,2221,1309,66,14,119,0,61,116,536,2221,92,132,198,94,109,236,119,112,85,175,189,183,79,216,140,62,37.3,1532,0.155,0.375,0.36,0.096,0,0.015,508,0.264,880,0.074,1167,71400,943,
Boronda CDP,16000US0607578,California,Monterey,1486323,1763,3072.1,47383,410,59,149,46,80,66,10,0,1763,65,13,0,35,0,0,0,1650,1763,42,236,58,174,128,140,90,53,227,50,25,163,208,54,35,80,37.8,1164,0.298,0.361,0.191,0.15,0,0,351,0.091,772,0.194,410,291500,410,
Borrego Springs CDP,16000US0607596,California,San Diego,112428268,2145,49.4,49570,1021,266,250,193,76,96,81,59,2145,1454,112,0,0,0,0,0,579,2145,78,132,99,33,162,64,197,327,35,75,71,18,83,181,146,444,62.7,1688,0.133,0.394,0.201,0.127,0,0.145,676,0,710,0.117,2703,186400,1021,
Bostonia CDP,16000US0607624,California,San Diego,4987050,16603,8622.6,55368,5608,1172,1397,975,827,777,172,288,16603,9112,1055,136,810,273,58,770,4389,16603,910,1175,1318,1133,894,1327,686,803,1153,1101,1649,955,1021,1121,669,688,33.8,10826,0.164,0.313,0.344,0.147,0,0.031,3826,0.145,8524,0.083,5798,368300,5608,
Boulder Creek CDP,16000US0607652,California,Santa Cruz,19455045,5182,689.9,97433,2183,262,283,205,343,476,349,265,5182,4243,44,37,45,32,11,165,605,5182,288,240,146,418,275,399,470,290,280,274,266,364,226,567,463,216,47.5,3903,0.046,0.113,0.451,0.245,0,0.145,1333,0.005,2841,0.063,2389,578000,2183,
Boulevard CDP,16000US0607694,California,San Diego,10115840,405,103.7,-1,220,121,20,0,15,64,0,0,405,385,0,20,0,0,0,0,0,405,0,0,0,0,0,120,64,0,0,0,0,0,15,0,145,61,67.1,405,0.151,0.336,0.356,0.158,0,0,124,0.484,15,0,220,261300,220,
Bowles CDP,16000US0607750,California,Fresno,985992,272,714.5,-1,50,26,6,5,10,0,3,0,272,88,0,0,0,0,0,0,184,272,43,9,6,5,19,6,9,42,68,5,0,7,17,16,5,15,31.7,141,0.227,0.362,0.227,0.184,0,0,45,0.467,58,0.103,50,-1,50,
Boyes Hot Springs CDP,16000US0607848,California,Sonoma,2746385,7728,7287.9,74120,2779,312,544,543,278,630,274,198,7728,3624,116,0,116,36,158,319,3359,7728,502,608,242,595,416,342,577,377,652,783,474,425,557,425,453,300,36,4721,0.165,0.173,0.331,0.186,0,0.145,1813,0.031,4137,0.032,3050,558300,2779,
Bradbury city,16000US0607946,California,Los Angeles,5085449,833,424.2,146250,270,33,32,24,21,27,35,98,833,376,8,0,312,0,0,13,124,833,50,50,39,56,66,61,60,53,27,46,59,38,26,78,72,52,46.2,627,0.085,0.085,0.287,0.319,1,0.225,235,0.055,426,0.021,385,1555900,270,
Bradley CDP,16000US0607974,California,Monterey,222711,113,1314.1,58750,41,0,13,8,18,2,0,0,113,89,0,0,0,0,0,0,24,113,0,6,4,11,5,17,6,13,6,3,0,5,7,16,8,6,51.8,94,0.074,0.809,0.074,0.021,0,0.021,41,0,46,0,47,273700,41,
Brawley city,16000US0608058,California,Imperial,21024316,26076,3212.3,42326,6887,2380,1451,941,745,1075,195,100,26076,3186,316,85,104,77,40,440,21828,26076,2897,2125,1752,1631,1173,1479,1091,1295,2325,1969,1807,1546,1527,1374,1162,923,30.6,15264,0.275,0.245,0.363,0.089,0,0.028,5369,0.279,9516,0.18,8390,188900,6887,
Brea city,16000US0608100,California,Orange,31489515,42678,3510.2,94492,15246,1423,1887,2379,2252,3377,1674,2254,42678,17819,739,91,9251,80,68,1106,13524,42678,2527,2922,2757,2961,3243,3220,2388,2277,2586,2467,2980,2474,2970,3014,2234,1658,39.5,29327,0.074,0.159,0.315,0.284,1,0.169,11050,0.046,23460,0.051,15923,660400,15246,
Brentwood city,16000US0608142,California,Contra Costa,38484837,61961,4169.9,108994,19906,1834,2637,2032,2333,4489,3060,3521,61961,32372,4809,314,6491,296,136,3331,14212,61961,4094,5411,2454,3528,4682,4629,3413,3676,3300,5230,4095,2876,4578,4334,2909,2752,40,40274,0.072,0.195,0.403,0.234,0,0.097,16038,0.037,30398,0.067,20627,580500,19906,
Bret Harte CDP,16000US0608172,California,Stanislaus,1425057,5148,9356.3,37526,1259,429,438,274,96,21,1,0,5148,527,0,0,0,0,0,25,4596,5148,485,618,350,400,398,84,64,105,485,795,269,306,371,238,120,60,22.1,2319,0.549,0.332,0.106,0.003,0,0.009,1126,0.309,1936,0.19,1286,134200,1259,
Bridgeport CDP,16000US0608240,California,Mono,56306218,542,24.9,84444,194,7,4,79,60,44,0,0,542,494,4,20,7,0,0,3,14,542,2,0,8,13,0,26,17,94,33,54,9,15,3,151,85,32,55.2,442,0.068,0.24,0.382,0.265,1,0.045,129,0.008,209,0,437,201900,194,
Brisbane city,16000US0608310,California,San Mateo,8017501,4697,1517.3,112016,1892,122,261,262,205,346,196,500,4697,2057,131,0,1506,0,20,177,806,4697,331,161,183,426,310,449,334,231,337,87,121,345,353,376,372,281,46.6,3667,0.083,0.15,0.219,0.29,1,0.258,1175,0.051,2723,0.026,1959,889200,1892,
Broadmoor CDP,16000US0608338,California,San Mateo,1167499,5170,11469.2,94160,1631,120,203,262,252,397,153,244,5170,1015,12,0,2468,0,0,129,1546,5170,206,318,276,407,283,439,301,337,235,122,584,544,383,236,397,102,37.9,3973,0.108,0.207,0.398,0.227,0,0.061,1231,0.01,3223,0.084,1631,804600,1631,
